Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
5/19/2020,M1 FINANCE (MOFI ACH,M1 FINANCE (MOFI ACH,1000,debit,Transfer,Checking Account,,
5/18/2020,Amazon,AMZN Mktp US*M76N984V0,15.95,debit,Shopping,CREDIT CARD,,
5/17/2020,Lots of Liquor,DRIZLY LOTS OF LIQUO 312-257-2300 MO,127.12,debit,Alcohol & Bars,Discover,,
5/17/2020,FARM AND HOME SUPPLY #2,FARM AND HOME SUPPLY #2,22.73,debit,Home Supplies,CREDIT CARD,,
5/17/2020,Google Storage,GOOGLE *Google Storage,9.99,debit,Internet,CREDIT CARD,,
5/17/2020,DOORDASH*101 ASIAN CUI,DOORDASH*101 ASIAN CUI,57.24,debit,Restaurants,CREDIT CARD,,
5/17/2020,Instacart,INSTACART*SCHNUCKS,259.64,debit,Groceries,CREDIT CARD,,
5/15/2020,GoFndMe* Memorial for Gri,GoFndMe* Memorial for Gri,52.5,debit,Charity,CREDIT CARD,,
5/15/2020,Amazon,AMZN Digital*MC5NJ19D0,55.99,debit,Shopping,CREDIT CARD,,
5/15/2020,TAPESTRY SOLUTIO DIRECT DEP~ Future Amount: 2047.5 ~ Tran: D,TAPESTRY SOLUTIO DIRECT DEP~ Future Amount: 2047.5 ~ Tran: D,2047.5,credit,Paycheck,Checking Account,,
5/15/2020,Payroll$ 006YK4 DIR DEP~ Future Amount: 1588.44 ~ Tran: DDIR,Payroll$ 006YK4 DIR DEP~ Future Amount: 1588.44 ~ Tran: DDIR,1588.44,credit,Paycheck,Checking Account,,
5/14/2020,Amazon,AMZN Mktp US*IZ5H15E73,23.99,debit,Gift,CREDIT CARD,,
5/14/2020,Amazon,AMZN Mktp US*MC7TH3KO0,7.41,debit,Gift,CREDIT CARD,,
5/14/2020,Google,GOOGLE *Google Fi,27.95,debit,Mobile Phone,CREDIT CARD,,
5/13/2020,Google Music,GOOGLE *Google Music,9.99,debit,Music,CREDIT CARD,,
5/13/2020,QuikTrip,QT 619,19.82,debit,Gas & Fuel,CREDIT CARD,,
5/13/2020,Ameren,AMERENMO UTIL PAY~ Future Amount: 51.01 ~ Tran: ACHDW,51.01,debit,Utilities,Checking Account,,
5/12/2020,Amazon,Amazon.com*MC0TJ4820,12.96,debit,Gift,CREDIT CARD,,mother's day
5/12/2020,JPMorgan Chase Ext Trnsfr~ Future Amount: 431.71 ~ Tran: ACH,JPMorgan Chase Ext Trnsfr~ Future Amount: 431.71 ~ Tran: ACH,431.71,debit,Transfer,Checking Account,,
5/11/2020,Disney,GOOGLE *Disney Mobile,6.99,debit,Television,CREDIT CARD,,
5/11/2020,DOORDASH*SUGARFIRE SMO,DOORDASH*SUGARFIRE SMO,40.42,debit,Restaurants,CREDIT CARD,,
5/11/2020,Spire - 54303681 PAYMENT~ Future Amount: 43.65 ~ Tran: ACHDW,Spire - 54303681 PAYMENT~ Future Amount: 43.65 ~ Tran: ACHDW,43.65,debit,Utilities,Checking Account,,
5/11/2020,DISCOVER E-PAYMENT,DISCOVER E-PAYMENT,428.69,debit,Credit Card Payment,Checking Account,,
5/10/2020,Directpay Full Balance,DIRECTPAY FULL BALANCE,428.69,credit,Credit Card Payment,Discover,,
5/10/2020,FARM AND HOME SUPPLY #2,FARM AND HOME SUPPLY #2,36.57,debit,Lawn & Garden,CREDIT CARD,,
5/10/2020,IMPERFECT FOODS,IMPERFECT FOODS,24.27,debit,Groceries,CREDIT CARD,,
5/10/2020,FARM AND HOME SUPPLY #2,FARM AND HOME SUPPLY #2,36.57,debit,Lawn & Garden,CREDIT CARD,,
5/8/2020,Amazon,Amazon.com*CG0HA8ZC3,10.05,debit,Books,CREDIT CARD,,dune
5/8/2020,Requested transfer to Ally Invest Investment Account *6770,Requested transfer to Ally Invest Investment Account *6770,400,debit,Transfer,Checking Account,,
5/7/2020,Amazon,Amazon.com*6W9LE7N13,10.31,debit,Gift,CREDIT CARD,,
5/7/2020,Waste Management,WASTE MANAGEMENT INTERNET,105.13,debit,Utilities,Checking Account,,
5/6/2020,M1 FINANCE (MOFI ACH,M1 FINANCE (MOFI ACH,600,debit,Transfer,Checking Account,,
5/5/2020,M1 FINANCE (MOFI ACH,M1 FINANCE (MOFI ACH,2000,debit,Transfer,Checking Account,,
5/4/2020,eCheck Deposit,eCheck Deposit,2142.56,credit,Paycheck,Checking Account,,
5/4/2020,ST. LUKES HOSPITAL,ST. LUKES HOSPITAL,394.9,debit,Doctor,CREDIT CARD,,
5/4/2020,SOUND HEALTH SERVICES,SOUND HEALTH SERVICES,133.97,debit,Doctor,CREDIT CARD,,
5/4/2020,FREDDY'S 19-0004,FREDDY'S 19-0004,18.64,debit,Fast Food,CREDIT CARD,,
5/4/2020,Requested transfer to Ally Invest Investment Account *6770,Requested transfer to Ally Invest Investment Account *6770,2000,debit,Transfer,Checking Account,,
5/4/2020,BB&T MTG PAY,BB&T MTG PAY,1002.87,debit,Mortgage & Rent,Checking Account,,
5/3/2020,Taco Bell,TACO BELL 3002060,12.97,debit,Fast Food,CREDIT CARD,,
5/3/2020,DOORDASH*CHINA KING,DOORDASH*CHINA KING,21.1,debit,Restaurants,CREDIT CARD,,
5/3/2020,FARM AND HOME SUPPLY #2,FARM AND HOME SUPPLY #2,54.63,debit,Home Supplies,CREDIT CARD,,
5/3/2020,Sturges Chiropractic & Sp,Sturges Chiropractic & Sp,20,debit,Health & Fitness,CREDIT CARD,,
5/3/2020,Dairy Queen,DOORDASH*DAIRY QUEEN,0.03,credit,Fast Food,CREDIT CARD,,
5/1/2020,Target,TARGET SAINT PETERS MO,101.37,debit,Shopping,Discover,,
5/1/2020,Zelle payment from Michael Shannon (Ally Interest Checking X,Zelle payment from Michael Shannon (Ally Interest Checking X,40,debit,Mobile Phone,Checking Account,,
5/1/2020,TAPESTRY SOLUTIO DIRECT DEP~ Future Amount: 2054.31 ~ Tran:,TAPESTRY SOLUTIO DIRECT DEP~ Future Amount: 2054.31 ~ Tran:,2054.31,credit,Paycheck,Checking Account,,
4/29/2020,"Treats Unleashed, Inc.",TREATS UNLEASHED SAINT PETERS MO,30.19,debit,Restaurants,Discover,,
4/29/2020,Target,TARGET.COM,11.32,debit,Shopping,CREDIT CARD,,
4/28/2020,Instacart,INSTACART*ALDI,15.59,debit,Groceries,CREDIT CARD,,
4/28/2020,Instacart,INSTACART*ALDI,100.6,debit,Groceries,CREDIT CARD,,
4/28/2020,Instacart,INSTACART*ALDI,90,debit,Groceries,CREDIT CARD,,
4/28/2020,CHASE CREDIT CRD AUTOPAY,CHASE CREDIT CRD AUTOPAY,862.77,debit,Credit Card Payment,Checking Account,,
4/27/2020,COINBASE 8889087930 CA US,COINBASE 8889087930 CA US,80,debit,Hobby - Leaf,Checking Account,,
4/27/2020,DUCKETT UTILITY DD~ Future Amount: 65.25 ~ Tran: ACHDW,DUCKETT UTILITY DD~ Future Amount: 65.25 ~ Tran: ACHDW,65.25,debit,Utilities,Checking Account,,
4/27/2020,Home Depot,PAYPAL *HOME DEPOT,111.08,credit,Home Improvement,CREDIT CARD,,
4/27/2020,SPECTRUM,SPECTRUM,69.99,debit,Internet,CREDIT CARD,,
4/27/2020,AUTOMATIC PAYMENT - THANK,AUTOMATIC PAYMENT - THANK,862.77,credit,Credit Card Payment,CREDIT CARD,,
4/26/2020,Amazon,AMZN Mktp US*5E8I08AX3,23,debit,Home Supplies,CREDIT CARD,,
4/26/2020,Amazon,AMZN Mktp US*5E8I08AX3,23,debit,Health & Fitness,CREDIT CARD,,
4/26/2020,Amazon,AMZN Mktp US*5E8I08AX3,12.63,debit,Shopping,CREDIT CARD,,
4/26/2020,Amazon,AMZN Mktp US*5E8I08AX3,19,debit,Gift,CREDIT CARD,,
4/26/2020,THE TAMALE MAN,SQ *THE TAMALE MAN,72.52,debit,Restaurants,CREDIT CARD,,
4/26/2020,PROSIGHT RADIOLOGY GROUP,PROSIGHT RADIOLOGY GROUP,90.66,debit,Doctor,CREDIT CARD,,
4/26/2020,Hulu,HLU*Hulu 1254157570115-U,5.99,debit,Movies & DVDs,CREDIT CARD,,
4/26/2020,Farm Home Supply,FARM AND HOME SUPPLY #2,7.57,debit,Home Improvement,CREDIT CARD,,
4/24/2020,Farm,FARM AND HOME SUPPLY #2 770-218-4000 IL,83.29,debit,Lawn & Garden,Discover,,
4/24/2020,MISSOURI-AMERICA PAYMENT~ Future Amount: 20.96 ~ Tran: ACHDW,MISSOURI-AMERICA PAYMENT~ Future Amount: 20.96 ~ Tran: ACHDW,20.96,debit,Utilities,Checking Account,,
4/23/2020,Target,TARGET.COM,15.25,debit,Shopping,CREDIT CARD,,
4/23/2020,STL AREA FOODBANK,STL AREA FOODBANK,200,debit,Charity,CREDIT CARD,,
4/23/2020,WWW.JACARES.ORG,WWW.JACARES.ORG,200,debit,Charity,CREDIT CARD,,
4/23/2020,Target,TARGET.COM,13.6,debit,Clothing,CREDIT CARD,,
4/23/2020,RESTAURANT WORKERS COM,RESTAURANT WORKERS COM,200,debit,Charity,CREDIT CARD,,
4/22/2020,Dairy Queen,DOORDASH*DAIRY QUEEN,34.63,debit,Fast Food,CREDIT CARD,,
4/22/2020,Netflix,NETFLIX.COM,12.99,debit,Movies & DVDs,CREDIT CARD,,
4/22/2020,BRYAN ROAD ANIMAL HOSPITA,BRYAN ROAD ANIMAL HOSPITA,606.5,debit,Veterinary,CREDIT CARD,,
4/21/2020,McDonald's,MCDONALD'S F20374,10.86,debit,Fast Food,CREDIT CARD,,
4/21/2020,CHASE CREDIT CRD AUTOPAY,CHASE CREDIT CRD AUTOPAY,153.98,debit,Credit Card Payment,Checking Account,,
4/20/2020,Six Ca,SIX5 408-507-7972 CA,6.9,credit,Hobby - Leaf,Discover,,
4/20/2020,Interest Paid,Interest Paid,1.37,credit,Interest Income,Travel Saving Account,,
4/20/2020,Interest Paid,Interest Paid,14.94,credit,Interest Income,Emergency Savings Account,,
4/20/2020,Interest Paid,Interest Paid,7.69,credit,Interest Income,Home Improvement Savings,,
4/20/2020,eCheck Deposit,eCheck Deposit,20,credit,Health & Fitness,Checking Account,,
4/20/2020,Interest Paid,Interest Paid,0.9,credit,Interest Income,Checking Account,,
4/20/2020,Walgreens,WALGREENS #3687,2.19,debit,Pharmacy,CREDIT CARD,,
4/20/2020,AUTOMATIC PAYMENT - THANK,AUTOMATIC PAYMENT - THANK,153.98,credit,Credit Card Payment,CREDIT CARD,,
4/19/2020,Home Depot,PAYPAL *HOME DEPOT,8.13,debit,Home Improvement,CREDIT CARD,,
4/17/2020,SIX5 408-507-7972 CA,SIX5 408-507-7972 CA,19.89,debit,Hobby - Leaf,Discover,,
4/17/2020,SIX5 408-507-7972 CA,SIX5 408-507-7972 CA,279.2,debit,Hobby - Leaf,Discover,,
4/17/2020,LEAP CLIXX INC PAYROLL~ Future Amount: 1254.18 ~ Tran: DDIR,LEAP CLIXX INC PAYROLL~ Future Amount: 1254.18 ~ Tran: DDIR,1254.18,credit,Paycheck,Checking Account,,
4/17/2020,M1 FINANCE (MOFI ACH,M1 FINANCE (MOFI ACH,2000,debit,Mortgage & Rent,Checking Account,,
4/17/2020,TAPESTRY SOLUTIO DIRECT DEP~ Future Amount: 2181.94 ~ Tran:,TAPESTRY SOLUTIO DIRECT DEP~ Future Amount: 2181.94 ~ Tran:,2181.94,credit,Paycheck,Checking Account,,
4/17/2020,DOORDASH*CHIMIS FRESH-,DOORDASH*CHIMIS FRESH-,31.72,debit,Restaurants,CREDIT CARD,,
4/17/2020,Home Depot,PAYPAL *HOME DEPOT,10.04,debit,Home Improvement,CREDIT CARD,,
4/17/2020,Google,GOOGLE*GOOGLE STORAGE,9.99,debit,Internet,CREDIT CARD,,
4/16/2020,Requested transfer to Ally Invest Investment Account *6770,Requested transfer to Ally Invest Investment Account *6770,2000,debit,Transfer,Checking Account,,
4/16/2020,Schnucks,INSTACART*SCHNUCKS,5.92,debit,Groceries,CREDIT CARD,,
4/16/2020,MEUNDIES,PAYPAL *MEUNDIES,16,debit,Clothing,CREDIT CARD,,
4/16/2020,Schnucks,INSTACART*SCHNUCKS,225,debit,Groceries,CREDIT CARD,,
4/15/2020,Internal Revenue Service,IRS  TREAS 310 TAX REF~ Future Amount: 2400 ~ Tran: DDIR,2400,credit,Federal Tax,Checking Account,,
4/14/2020,Lots of Liquor,DRIZLY LOTS OF LIQUO 312-257-2300 MO,57.03,debit,Alcohol & Bars,Discover,,
4/14/2020,Google,GOOGLE*GOOGLE FI,38.05,debit,Mobile Phone,CREDIT CARD,,
4/14/2020,Ameren,AMERENMO UTIL PAY~ Future Amount: 50.62 ~ Tran: ACHDW,50.62,debit,Utilities,Checking Account,,
4/13/2020,Google,GOOGLE*GOOGLE MUSIC,9.99,debit,Music,CREDIT CARD,,
4/13/2020,BRYAN ROAD ANIMAL HOSPITA,BRYAN ROAD ANIMAL HOSPITA,117.78,debit,Veterinary,CREDIT CARD,,
4/13/2020,DISCOVER E-PAYMENT,DISCOVER E-PAYMENT,159.81,debit,Credit Card Payment,Checking Account,,
4/13/2020,JPMorgan Chase Ext Trnsfr~ Future Amount: 431.71 ~ Tran: ACH,JPMorgan Chase Ext Trnsfr~ Future Amount: 431.71 ~ Tran: ACH,431.71,debit,Transfer,Checking Account,,
4/12/2020,DOORDASH*SOULARD GYRO,DOORDASH*SOULARD GYRO,33.64,debit,Restaurants,CREDIT CARD,,
4/12/2020,Imperfect Foods,IMPERFECT FOODS,10.77,credit,Credit Card Payment,CREDIT CARD,,
4/12/2020,Disney,GOOGLE *Disney Mobile,6.99,debit,Television,CREDIT CARD,,
4/12/2020,GrubHub,GRUBHUBSOULARDGYRO 877-585-1085 NY,29,debit,Gift,Discover,,
4/10/2020,Directpay Full Balance,DIRECTPAY FULL BALANCE,159.81,credit,Credit Card Payment,Discover,,
4/9/2020,Home Depot,PAYPAL *HOME DEPOT,10.8,debit,Home Improvement,CREDIT CARD,,
4/9/2020,Home Depot,PAYPAL *HOME DEPOT,41.84,debit,Home Improvement,CREDIT CARD,,
4/9/2020,Southwest Airlines,SOUTHWES    5262177826026,11.2,credit,Air Travel,CREDIT CARD,,
4/9/2020,Southwest Airlines,SOUTHWES    5262177826027,11.2,credit,Air Travel,CREDIT CARD,,
4/9/2020,Spire - 54303681 PAYMENT~ Future Amount: 59.14 ~ Tran: ACHDW,Spire - 54303681 PAYMENT~ Future Amount: 59.14 ~ Tran: ACHDW,59.14,debit,Internet,Checking Account,,
4/8/2020,Home Depot,PAYPAL *HOME DEPOT,111.08,debit,Home Improvement,CREDIT CARD,,
4/8/2020,Home Depot,PAYPAL *HOME DEPOT,24.73,debit,Home Improvement,CREDIT CARD,,
4/8/2020,COINBASE 8889087930 CA US,COINBASE 8889087930 CA US,175,debit,Restaurants,Checking Account,,
4/7/2020,O'Charley's,DOORDASH*OCHARLEYS RES,29.69,debit,Gift,CREDIT CARD,,
4/5/2020,DOORDASH*BANDANAS BAR-,DOORDASH*BANDANAS BAR-,39.89,debit,Restaurants,CREDIT CARD,,
4/5/2020,IMPERFECT FOODS,IMPERFECT FOODS,24.6,debit,Groceries,CREDIT CARD,,
4/4/2020,Schnucks,SCHNUCKS COTTLEVILLE SAINT PETERS MO,167,debit,Groceries,Discover,,
4/3/2020,TAPESTRY SOLUTIO DIRECT DEP~ Future Amount: 2105.56 ~ Tran:,TAPESTRY SOLUTIO DIRECT DEP~ Future Amount: 2105.56 ~ Tran:,2105.56,credit,Paycheck,Checking Account,,
4/3/2020,LEAP CLIXX INC PAYROLL~ Future Amount: 1588.45 ~ Tran: DDIR,LEAP CLIXX INC PAYROLL~ Future Amount: 1588.45 ~ Tran: DDIR,1588.45,credit,Paycheck,Checking Account,,
4/2/2020,BB&T MTG PAY,BB&T MTG PAY,1002.87,debit,Mortgage & Rent,Checking Account,,
4/2/2020,COINBASE.COM 8889087930,COINBASE.COM 8889087930,160,debit,Investments,Checking Account,,
4/1/2020,ANNUAL MEMBERSHIP FEE,ANNUAL MEMBERSHIP FEE,95,debit,Service Fee,CREDIT CARD,,
4/1/2020,Zelle payment from Michael Shannon (Ally Interest Checking X,Zelle payment from Michael Shannon (Ally Interest Checking X,40,debit,Mobile Phone,Checking Account,,
3/31/2020,Wendy's,WENDY'S 719 SAINT PETERS MO,5.59,debit,Fast Food,Discover,,
3/31/2020,Freddys,FREDDY'S 19-0004 SAINT PETERS MO,17.78,debit,Fast Food,Discover,,
3/31/2020,Amazon,AMZN Mktp US*U64HU1JI3,11.49,debit,Shopping,CREDIT CARD,,
3/30/2020,Amazon,Amazon.com*F37RR9J43,17.94,debit,Shopping,CREDIT CARD,,
3/30/2020,Amazon,Amazon.com*VB2X96G73,9.51,debit,Shopping,CREDIT CARD,,
3/30/2020,DOORDASH*LIONS CHOICE,DOORDASH*LIONS CHOICE,20.62,debit,Fast Food,CREDIT CARD,,
3/30/2020,CHASE CREDIT CRD AUTOPAY,CHASE CREDIT CRD AUTOPAY,2101.51,debit,Credit Card Payment,Checking Account,,
3/29/2020,IMPERFECT FOODS,IMPERFECT FOODS,24.57,debit,Groceries,CREDIT CARD,,
3/27/2020,AUTOMATIC PAYMENT - THANK,AUTOMATIC PAYMENT - THANK,2101.51,credit,Credit Card Payment,CREDIT CARD,,
3/27/2020,SPECTRUM,SPECTRUM,69.99,debit,Internet,CREDIT CARD,,
3/26/2020,Hulu,HLU*Hulu 1254157570782-U,5.99,debit,Movies & DVDs,CREDIT CARD,,
3/26/2020,Subway,DOORDASH*SUBWAY,20.82,debit,Fast Food,CREDIT CARD,,
3/26/2020,Amazon,AMZN Mktp US*M23B52UX3,16.14,debit,Electronics & Software,CREDIT CARD,,wired gaming headphones
3/25/2020,Amazon,Amazon.com*I64V78PP3,16.31,debit,Shopping,CREDIT CARD,,
3/25/2020,MISSOURI-AMERICA PAYMENT~ Future Amount: 18.46 ~ Tran: ACHDW,MISSOURI-AMERICA PAYMENT~ Future Amount: 18.46 ~ Tran: ACHDW,18.46,debit,Utilities,Checking Account,,
3/23/2020,CHASE CREDIT CRD AUTOPAY,CHASE CREDIT CRD AUTOPAY,125.48,debit,Credit Card Payment,Checking Account,,
3/22/2020,Netflix,NETFLIX.COM,12.99,debit,Movies & DVDs,CREDIT CARD,,
3/22/2020,IMPERFECT FOODS,IMPERFECT FOODS,9.15,debit,Groceries,CREDIT CARD,,
3/22/2020,Amazon,AMZN Mktp US*5P2CG8XL3,4.33,debit,Shopping,CREDIT CARD,,
3/21/2020,Schnucks,SCHNUCKS COTTLEVILLE SAINT PETERS MO,82.28,debit,Groceries,Discover,,
3/21/2020,QuikTrip,QT 619 SAINT PETERS MO0061902KYFVDEK,7.52,debit,Gas & Fuel,Discover,,
3/20/2020,Interest Paid,Interest Paid,15.21,credit,Interest Income,Emergency Savings Account,,
3/20/2020,Interest Paid,Interest Paid,0.4,credit,Interest Income,Checking Account,,
3/20/2020,Interest Paid,Interest Paid,7.53,credit,Interest Income,Home Improvement Savings,,
3/20/2020,Interest Paid,Interest Paid,1.34,credit,Interest Income,Travel Saving Account,,
3/20/2020,QuikTrip,QT 619,25.06,debit,Gas & Fuel,CREDIT CARD,,
3/20/2020,AUTOMATIC PAYMENT - THANK,AUTOMATIC PAYMENT - THANK,125.48,credit,Credit Card Payment,CREDIT CARD,,
3/20/2020,LEAP CLIXX INC PAYROLL~ Future Amount: 4626.53 ~ Tran: DDIR,LEAP CLIXX INC PAYROLL~ Future Amount: 4626.53 ~ Tran: DDIR,4626.53,credit,Paycheck,Checking Account,,
3/20/2020,TAPESTRY SOLUTIO DIRECT DEP~ Future Amount: 2105.54 ~ Tran:,TAPESTRY SOLUTIO DIRECT DEP~ Future Amount: 2105.54 ~ Tran:,2105.54,credit,Paycheck,Checking Account,,
3/19/2020,Jackbox games,SP * JACKBOX GAMES,12.49,debit,Amusement,CREDIT CARD,,
3/19/2020,Schnucks,SCHNUCKS COTTLEVILLE,159.12,debit,Groceries,CREDIT CARD,,
3/19/2020,Walgreens,WALGREENS #4970,42.06,debit,Pharmacy,CREDIT CARD,,
3/19/2020,CHINA KING,CHINA KING,41.17,debit,Restaurants,CREDIT CARD,,
3/19/2020,Robinhood,ROBINHOOD Funds,200,debit,Investments,Checking Account,,
3/19/2020,COINBASE 8889087930 CA US,COINBASE 8889087930 CA US,195,debit,Hobby - Leaf,Checking Account,,
3/18/2020,PetSmart,PETSMART # 0270 O'FALLON MO,174.22,debit,Pet Food & Supplies,Discover,,
3/17/2020,Google,GOOGLE*GOOGLE STORAGE,9.99,debit,Internet,CREDIT CARD,,
3/17/2020,Phillips 66,PHILLIPS 66 - DIRT CHEAP,30.95,debit,Gas & Fuel,CREDIT CARD,,
3/17/2020,Robinhood,ROBINHOOD Funds,750,debit,Investments,Checking Account,,
3/15/2020,Google,GOOGLE *Google Fi,39.88,debit,Mobile Phone,CREDIT CARD,,
3/15/2020,Imos Pizza,IMOS PIZZA - HARVESTER -,27.96,debit,Restaurants,CREDIT CARD,,
3/14/2020,RENDEZVOUS CAFE AND WINE O FALLON MO,RENDEZVOUS CAFE AND WINE O FALLON MO,64,debit,Restaurants,Discover,,
3/14/2020,Lots of Liquor,LOL LOTS OF LIQUOR SAINT PETERS MO,20.03,debit,Alcohol & Bars,Discover,,
3/13/2020,Google Music,GOOGLE *Google Music,9.99,debit,Music,CREDIT CARD,,
3/13/2020,Exxon,EXXONMOBIL    99500563,32.57,debit,Gas & Fuel,CREDIT CARD,,
